143313B  XHLBR(XMSG-SYMBOL-LIST)
143340B  XGLBR(XMSG-SYMBOL-LIST)
143403B  XHUTL(XMSG-SYMBOL-LIST)
143532B  XHLTI(XMSG-SYMBOL-LIST)
143566B  XHCTO(XMSG-SYMBOL-LIST)
143630B  XHSTR(XMSG-SYMBOL-LIST)
144037B  LDFIL(XMSG-SYMBOL-LIST)
144115B  XGSTR(XMSG-SYMBOL-LIST)
144400B  ALPOF(XMSG-SYMBOL-LIST) / ALPON(XMSG-SYMBOL-LIST)
144457B  IOINI(XMSG-SYMBOL-LIST)
144672B  GBNK(XMSG-SYMBOL-LIST)
144711B  IOSND(XMSG-SYMBOL-LIST)
145000B  XHIOR(XMSG-SYMBOL-LIST)
145143B  IOCOD(XMSG-SYMBOL-LIST)
146152B  ZFUNC(XMSG-SYMBOL-LIST)
146210B  XLDA(XMSG-SYMBOL-LIST)
146225B  XLDX(XMSG-SYMBOL-LIST)
146242B  XLDD(XMSG-SYMBOL-LIST)
146257B  XSTA(XMSG-SYMBOL-LIST)
146274B  XSTZ(XMSG-SYMBOL-LIST)
146311B  XSTD(XMSG-SYMBOL-LIST)
146326B  XCALL(XMSG-SYMBOL-LIST)
150401B  APIOF(XMSG-SYMBOL-LIST) / UOFF(XMSG-SYMBOL-LIST)
150402B  APION(XMSG-SYMBOL-LIST)
150405B  PIOF(XMSG-SYMBOL-LIST)
150406B  SEX(XMSG-SYMBOL-LIST)
150407B  REX(XMSG-SYMBOL-LIST)
150410B  PONN(XMSG-SYMBOL-LIST)
150412B  PION(XMSG-SYMBOL-LIST)
150415B  IOXT(XMSG-SYMBOL-LIST)
150416B  EXAM(XMSG-SYMBOL-LIST)
150417B  DEPO(XMSG-SYMBOL-LIST)
152113B  X6BUF(XMSG-SYMBOL-LIST)
174000B  1BANK(XMSG-SYMBOL-LIST) / APTOF(XMSG-SYMBOL-LIST)
174200B  2BANK(XMSG-SYMBOL-LIST) / APTON(XMSG-SYMBOL-LIST)
175770B  X6END(XMSG-SYMBOL-LIST)
176000B  X6TOP(XMSG-SYMBOL-LIST)
177000B  5MMSN(XMSG-SYMBOL-LIST)
177600B  XMSGA(XMSG-SYMBOL-LIST) / 5PMSK(XMSG-SYMBOL-LIST)
177601B  ZXR14(XMSG-SYMBOL-LIST)
177602B  QDPIT(XMSG-SYMBOL-LIST)
177603B  QENPC(XMSG-SYMBOL-LIST)
177604B  QDIPC(XMSG-SYMBOL-LIST)
177605B  Q9ERR(XMSG-SYMBOL-LIST)
177606B  PASST(XMSG-SYMBOL-LIST)
177607B  ERRFA(XMSG-SYMBOL-LIST)
177610B  PIDRE(XMSG-SYMBOL-LIST)
177611B  XRTEN(XMSG-SYMBOL-LIST)
177612B  ITB13(XMSG-SYMBOL-LIST)
177613B  Q2PHY(XMSG-SYMBOL-LIST)
177614B  Q2USR(XMSG-SYMBOL-LIST)
177615B  XPFAD(XMSG-SYMBOL-LIST)
177616B  XDHOM(XMSG-SYMBOL-LIST)
